ProductOrServiceCode,ProductOrServiceCodeText,Simple,IsService,ProductOrServiceArea,ProductServiceOrRnDarea
H128,QUALITY CONT SV/ENGINES & TURBINES,Services,TRUE,PAMS,PAMS
H129,QUALITY CONT SV/ENGINE ACCESSORIES,Services,TRUE,PAMS,PAMS
H130,QUALITY CONT SV/MECH POWER TRANS EQ,Services,TRUE,PAMS,PAMS
H131,QUALITY CONTROL SERVICES: BEARINGS,Services,TRUE,PAMS,PAMS
H132,QUALITY CONT SV/WOODWORKING MACHINE,Services,TRUE,PAMS,PAMS
H134,QUALITY CONT SV/METALWORK MACHINE,Services,TRUE,PAMS,PAMS
H135,QUALITY CONT SV/SERVICE & TRADE EQ,Services,TRUE,PAMS,PAMS
H136,QUALITY CONT SV/SP INDUSTRY MACHINE,Services,TRUE,PAMS,PAMS
H137,QUALITY CONT SV/AGRICULTURE MACHINE,Services,TRUE,PAMS,PAMS
H138,QUALITY CONT SV/CONTRUCT EQ,Services,TRUE,PAMS,PAMS
H139,QUALITY CONT SV/MATERIAL HANDLIN EQ,Services,TRUE,PAMS,PAMS
H140,QUALITY CONT SV/ROPE-CABLE-CHAIN,Services,TRUE,PAMS,PAMS
H141,QUALITY CONT SV/REFRIGERATION-AC EQ,Services,TRUE,PAMS,PAMS
H142,QUALITY CONT SV/FIRE-RESCUE-SAFE EQ,Services,TRUE,PAMS,PAMS
H143,QUALITY CONT SV/PUMPS & COMPRESSORS,Services,TRUE,PAMS,PAMS
H144,QUALITY CONT SV/FURNACE-NUC REACTOR,Services,TRUE,PAMS,PAMS
H145,QUALITY CONT SV/PLUMBING-HEATING EQ,Services,TRUE,PAMS,PAMS
H146,QUALITY CONT SV/WATER PURIFYING EQ,Services,TRUE,PAMS,PAMS
H147,QUALITY CONT SV/PIPE-TUBING-HOSE,Services,TRUE,PAMS,PAMS
H148,QUALITY CONTROL SERVICES: VALVES,Services,TRUE,PAMS,PAMS
H149,QUALITY CONT SV/MAINT REPAIR SHOP E,Services,TRUE,PAMS,PAMS
H151,QUALITY CONT SV/HAND TOOLS,Services,TRUE,PAMS,PAMS
H152,QUALITY CONT SV/MEASURING TOOLS,Services,TRUE,PAMS,PAMS
H153,QUALITY CONT SV/HARDWARE & ABRASIVE,Services,TRUE,PAMS,PAMS
H154,QUALITY CONT SV/PREFAB STRUCTURES,Services,TRUE,PAMS,PAMS
H155,QUALITY CONT SV/LUMBER & MILLWORK,Services,TRUE,PAMS,PAMS
H156,QUALITY CONT SV/CONTRUCT MATERIAL,Services,TRUE,PAMS,PAMS
H158,QUALITY CONT SV/COMMUNICATION EQ,Services,TRUE,ICT,ICT
H159,QUALITY CONT SV/ELECT-ELCT EQ,Services,TRUE,PAMS,PAMS
H160,QUALITY CONT SV/FIBER OPTICS MATER,Services,TRUE,ICT,ICT
H161,QUALITY CONT SV/POWER DISTRIBUTE EQ,Services,TRUE,PAMS,PAMS
H162,QUALITY CONT SV/LIGHTING FIXTURES,Services,TRUE,PAMS,PAMS
H163,QUALITY CONT SV/ALARM & SIGNAL SYS,Services,TRUE,PAMS,PAMS
H165,QUALITY CONT SV/MEDICAL-DENTAL-VET,Services,TRUE,PAMS,PAMS
H166,QUALITY CONT SV/INSTRUMENT & LAB EQ,Services,TRUE,PAMS,PAMS
H167,QUALITY CONT SV/PHOTOGRAPHIC EQ,Services,TRUE,PAMS,PAMS
H168,QUALITY CONT SV/CHEMICAL PRODUCTS,Services,TRUE,PAMS,PAMS
H169,QUALITY CONT SV/TRAINING AID-DEVICE,Services,TRUE,PAMS,PAMS
H170,QUALITY CONT SV/ADP EQ & SUPPLIES,Services,TRUE,ICT,ICT
H171,QUALITY CONTROL SERVICES: FURNITURE,Services,TRUE,PAMS,PAMS
H172,QUALITY CONT SV/HOUSEHOLD FURNISH,Services,TRUE,PAMS,PAMS
H173,QUALITY CONT SV/FOOD PREP-SERVE EQ,Services,TRUE,PAMS,PAMS
H174,QUALITY CONT SV/OFFICE MACHINES,Services,TRUE,PAMS,PAMS
H175,QUALITY CONT SV/OFFICE SUPPLIES,Services,TRUE,PAMS,PAMS
H176,QUALITY CONT SV/BOOKS-MAPS-PUBS,Services,TRUE,PAMS,PAMS
H177,QUALITY CONT SV/MUSIC INST-RADIO-TV,Services,TRUE,PAMS,PAMS
H178,QUALITY CONT SV/RECREATIONAL EQ,Services,TRUE,PAMS,PAMS
H179,QUALITY CONT SV/CLEANING EQ,Services,TRUE,PAMS,PAMS
H180,QUALITY CONT SV/BRUSH-PAINT-SEALER,Services,TRUE,PAMS,PAMS
H181,QUALITY CONT SV/CONTAINER-PACKAGING,Services,TRUE,PAMS,PAMS
H183,"QUALITY CONTROL- TEXTILES, LEATHER, FURS, APPAREL AND SHOE FINDINGS, TENTS AND FLAGS",Services,TRUE,PAMS,PAMS
H184,QUALITY CONT SV/CLOTH - INDIVID EQ,Services,TRUE,PAMS,PAMS
H185,QUALITY CONT SV/TOILETRIES,Services,TRUE,PAMS,PAMS
H187,QUALITY CONT SV/AGRICULTURAL SUPPLY,Services,TRUE,PAMS,PAMS
H188,QUALITY CONT SV/LIVE ANIMALS,Services,TRUE,PAMS,PAMS
H189,QUALITY CONT SV/SUBSISTENCE,Services,TRUE,PAMS,PAMS
H191,QUALITY CONT SV/FUEL-LUBRICANT-OIL,Services,TRUE,PAMS,PAMS
H193,QUALITY CONT SV/NONMETALIC FAB MAT,Services,TRUE,PAMS,PAMS
H194,H194 QUALITY CONTROL- NONMETALLIC CRUDE MATERIALS,Services,TRUE,PAMS,PAMS
H195,QUALITY CONT SV/METAL BARS & SHEETS,Services,TRUE,PAMS,PAMS
H196,QUALITY CONT SV/ORES & MINERALS,Services,TRUE,PAMS,PAMS
H199,QUALITY CONT SV/MISC EQ,Services,TRUE,PAMS,PAMS
H2,EQUIPMENT AND MATERIALS TESTING,Services,TRUE,PAMS,PAMS
